id,fips_code,state,cemetery,county_name,graveid,birth_year,birth_month,death_year,death_month,reached_age,female,stone_type,persons_ingrave,floral,wheat,marriage_month,marriage_year,married,familyrole,military,patriotic,occupation,picture,nonrelig_symbol,verbal_nonrelig,verbal_love,othersecular,bible,fish,dove,praying,cross,lamb,angel,verbal_relig,other_religious
29,1073,AL,Elmwood Cemetery,Jefferson2,191368445,1918,,2011,,93,0,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,1073,AL,Elmwood Cemetery,Jefferson2,35417473,1935,2,2009,3,74.083336,1,3,1,0,0,,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31,1073,AL,Elmwood Cemetery,Jefferson2,64263126,1921,1,2000,9,79.666664,0,3,1,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
32,1073,AL,Elmwood Cemetery,Jefferson2,156241251,1920,11,2009,1,88.166664,1,3,1,0,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33,1073,AL,Elmwood Cemetery,Jefferson2,170106539,1918,3,2012,6,94.25,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1073,AL,Elmwood Cemetery,Jefferson2,191536514,1918,,2004,,86,0,3,2,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1073,AL,Elmwood Cemetery,Jefferson2,148000056,1916,1,2008,6,92.416664,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,1073,AL,Elmwood Cemetery,Jefferson2,193538646,1923,9,2009,12,86.25,0,3,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,1073,AL,Elmwood Cemetery,Jefferson2,124529927,1926,8,2009,9,83.083336,1,3,1,0,0,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,1073,AL,Elmwood Cemetery,Jefferson2,120421376,1919,1,2002,2,83.083336,1,3,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1073,AL,Elmwood Cemetery,Jefferson2,194080459,1905,12,2000,11,94.916664,0,3,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
