FIPS,COUNT,TOT_POP,CAPITA
20097,6,2496,0.0024038462
48263,2,839,0.0023837902
48417,8,3356,0.0023837902
46061,8,3377,0.0023689665
19137,25,10566,0.0023660799
31175,10,4229,0.0023646252
19123,53,22443,0.0023615381
17053,33,14008,0.0023557967
38041,6,2553,0.0023501763
20153,6,2560,0.00234375
18045,40,17119,0.0023365851
29139,28,11996,0.0023341114
29175,59,25330,0.0023292538
46101,15,6446,0.0023270245
21183,56,24075,0.0023260644
17017,31,13338,0.0023241865
38013,5,2171,0.0023030861
19043,41,17835,0.0022988506
18075,49,21366,0.0022933633
38029,8,3491,0.002291607
29081,20,8728,0.0022914757
20095,18,7863,0.0022892026
54093,16,6995,0.0022873481
17061,31,13576,0.0022834414
19097,45,19712,0.0022828734
21233,31,13583,0.0022822646
31165,3,1315,0.0022813688
20005,38,16813,0.0022601558
31143,12,5320,0.0022556391
31163,7,3108,0.0022522523
55011,30,13333,0.0022500563
5129,18,8007,0.002248033
19081,25,11134,0.0022453745
17023,36,16209,0.0022209883
21171,24,10821,0.0022179096
38033,4,1804,0.0022172949
38007,2,905,0.0022099448
49033,5,2267,0.002205558
53043,23,10437,0.0022036984
17013,11,5014,0.0021938572
51610,29,13229,0.0021921536
31063,6,2741,0.0021889821
48443,2,917,0.0021810251
31149,3,1376,0.0021802326
20001,29,13319,0.0021773406
27045,45,20834,0.0021599309
31099,14,6485,0.0021588281
21055,20,9280,0.0021551724
48405,19,8818,0.0021546836
40007,12,5591,0.0021463066
20143,13,6072,0.002140975
31003,14,6545,0.0021390374
19083,37,17302,0.0021384811
39127,77,36015,0.0021379981
19047,37,17309,0.0021376163
16071,9,4215,0.0021352313
48075,15,7029,0.0021340162
48483,12,5626,0.0021329541
1041,30,14083,0.0021302279
17075,62,29240,0.002120383
17067,40,18891,0.0021174104
38039,5,2362,0.0021168501
31089,22,10396,0.0021161985
27073,15,7109,0.0021100014
29125,19,9014,0.0021078323
48093,29,13765,0.0021067926
20163,11,5223,0.0021060693
21149,20,9506,0.0021039344
13193,30,14263,0.0021033443
5101,17,8086,0.0021023992
8121,10,4766,0.0020981956
29033,19,9086,0.0020911292
19075,26,12448,0.0020886889
46069,3,1437,0.0020876827
5025,18,8627,0.0020864727
31087,6,2887,0.002078282
8061,3,1444,0.0020775623
35011,4,1927,0.0020757654
19051,18,8689,0.0020715848
19165,25,12069,0.0020714227
20185,9,4358,0.0020651675
40057,6,2906,0.0020646937
38031,7,3392,0.0020636792
8095,9,4367,0.0020609114
39121,30,14579,0.0020577543
18135,53,25815,0.0020530699
31069,4,1953,0.0020481311
17025,28,13766,0.0020339968
48433,3,1475,0.0020338983
21031,26,12840,0.0020249221
29093,21,10374,0.0020242915
29217,42,20748,0.0020242915
